,Cena,Približno,Neto cena,DDV,Bivalna površina,Vrsta stanovanja,Leto izgradnje,Vrsta ponudbe,Lokacija,Umeščenost stanovanja,Nadstropje,Skupno število nadstropij v stavbi,Leto zadnje prenove,Balkon / terasa / atrij,Zunanje površine in oprema,Vrsta cene,Oglas je objavljen,Do poteka še,Oglas je prikazan,Link,Šifra oglasa,Opremljenost in stanje,Število parkirnih mest,Možnost menjave,Neto površina,Energetski razred,Interna številka oglasa
0,169.900 €,,,,"66,70 m²",2-sobno,1961,Prodam,"Gorenjska, Jesenice, Slovenski Javornik",V večstanovanjski stavbi,2.,2,2020,Balkon,Vrt/dvorišče,Skupna cena,14.09.2022. ob 16:17,Št. dni: 29 in 19 h,375 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-slovenski-javornik-66.70-m2-oglas-9702142,9702142,,,,,,
1,147.000 €,,,,"72,00 m²",3-sobno,1890,Prodam,"Gorenjska, Tržič, Slap",V večstanovanjski stavbi,Mansarda,2,2022,,"Vrt/dvorišče, Lopa za shranjevanje, Žar",Skupna cena,14.09.2022. ob 15:45,Št. dni: 29 in 18 h,18 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-slap-72.00-m2-oglas-9959369,9959369,Popolnoma opremljeno,2,Menjava za drugo nepremičnino ni možna,,,
2,112.500 €,,,,,2-sobno,1963,Prodam,"Podravska, Maribor, Center",V večstanovanjski stavbi,5.,5,,,,Skupna cena,14.09.2022. ob 15:24,do prodaje,64 -krat,https://www.bolha.com/nepremicnine/2-sobno-maribor-center-oglas-9959303,9959303,,,,"46,90 m²",F (150 - 210 kWh/m2a),PE9616
3,148.000 €,,,,"109,00 m²",2-sobno,1978,Prodam,"Podravska, Maribor, Radvanje",V večstanovanjski stavbi,,,,,,Skupna cena,14.09.2022. ob 15:14,do prodaje,35 -krat,https://www.bolha.com/nepremicnine/prodaja-stanovanje-dvosobno-podravska-maribor-spodnje-radvanje-oglas-9959268,9959268,,,,"109,00 m²",,PH4647394AB-1
4,178.000 €,,,,"85,00 m²",,1988,Prodam,"Savinjska, Celje, Celje",V večstanovanjski stavbi,3.,3,2012,,,Skupna cena,14.09.2022. ob 15:14,do prodaje,23 -krat,https://www.bolha.com/nepremicnine/prodaja-stanovanje-trisobno-savinjska-celje-celje-oglas-9959267,9959267,,,,"85,00 m²",,PS01691AP
5,137.000 €,,,,"60,00 m²",,1949,Prodam,"Savinjska, Celje, Celje",V večstanovanjski stavbi,,,,,,Skupna cena,14.09.2022. ob 15:14,do prodaje,23 -krat,https://www.bolha.com/nepremicnine/prodaja-stanovanje-dvoinpolsobno-savinjska-celje-celje-oglas-9959266,9959266,,,,"60,00 m²",,PS01644AP
6,125.000 €,,,,"59,00 m²",,1986,Prodam,"Savinjska, Celje, Celje",V večstanovanjski stavbi,4.,4,,,,Skupna cena,14.09.2022. ob 15:14,do prodaje,20 -krat,https://www.bolha.com/nepremicnine/prodaja-stanovanje-dvoinpolsobno-savinjska-celje-celje-oglas-9959265,9959265,,,,"59,00 m²",,PS01643AP
7,295.000 €,,,,"74,60 m²",3-sobno,1977,Prodam,"Osrednjeslovenska, Ljubljana Bežigrad, Bežigrad",V večstanovanjski stavbi,,4,2015,Balkon,,Skupna cena,14.09.2022. ob 15:11,do prodaje,20 -krat,https://www.bolha.com/nepremicnine/ljubljana-bezigrad-stanovanje-3-sobno-prodaja-oglas-9959251,9959251,Popolnoma opremljeno,brez pripadajočega parkirišča,Menjava za drugo nepremičnino ni možna,"76,70 m²",E (105 - 150 kWh/m2a),101240-16
8,115.000 €,,,,"52,20 m²",2-sobno,1980,Prodam,"Podravska, Maribor, Radvanje",,,8,2012,Balkon,,Skupna cena,14.09.2022. ob 15:11,do prodaje,35 -krat,https://www.bolha.com/nepremicnine/maribor-sp-radvanje-stanovanje-2-sobno-prodaja-oglas-9959250,9959250,Popolnoma opremljeno,brez pripadajočega parkirišča,Menjava za drugo nepremičnino ni možna,"58,60 m²",,100155-301
9,175.000 €,,,,"37,70 m²","1,5-sobno",1960,Prodam,"Osrednjeslovenska, Ljubljana Moste Polje, Polje",V večstanovanjski stavbi,,,2010,Balkon,,Skupna cena,14.09.2022. ob 15:11,do prodaje,21 -krat,https://www.bolha.com/nepremicnine/ljubljana-polje-stanovanje-1.5-sobno-prodaja-oglas-9959248,9959248,,brez pripadajočega parkirišča,Menjava za drugo nepremičnino ni možna,"46,60 m²",B2 (25 - 35 kWh/m2a),101240-17
